CollectionId,Location,Date,Status,FieldAgent,Do you consent to participate in this survey?,Q1\. Age,Q2\. Gender,"""Q3\. In an average month, roughly how much do you personally spend on non-essential items (entertainment, dining out, personal care, gadgets, etc\.)?""","""Q4\. Who is the primary decision-maker for major household purchases (appliances, electronics, vehicles)?""",Q5\. How often do you choose branded/premium products over cheaper generic alternatives?,Q6\. Highest level of education completed,Q7\. Employment status,Q8\. Occupation category of the chief income earner in your household,Q9\. Housing tenure,Q10\. Which of these does your household currently have? (select all that apply),Q11\. Household monthly income bracket,Q12\. How many people (including you) depend on this household income?,Q13\. State of residence (where you currently live?)
434478639,"10.2650035, 9.7959076","Aug 26th 2026, 8:55 am",pending,Christopher Daniel ,"""yes""","""35–44""","""Male""","""₦70,000 – ₦150,000""","""I decide jointly with a spouse/partner""","""Rarely""","""HND/Bachelor's degree""","""Employed part-time""","""Junior staff / semi-skilled""","""Rented — single room(s) / face-me-I-face-you""","Smartphone
Computer/laptop","""₦50,000 – ₦150,000""","""1–2""","""Bauchi"""
479160556,"11.6429148, 8.4102469","Aug 26th 2026, 8:56 am",pending,Blessing Anyebe ,"""yes""","""25–34""","""Female""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦350,001 – ₦700,000""","""3–4""","""Kano"""
428106774,"6.568233, 3.2695946","Aug 26th 2026, 8:56 am",pending,Adejinmi Oluwatoyin Victoria ,"""yes""","""35–44""","""Female""","""₦10,000 – ₦29,999""","""I decide alone""","""Often""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Rented — flat/apartment""","Generator
Car
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""Above ₦700,000""","""5–6""","""Lagos"""
387786837,"10.3337166, 9.8451922","Aug 26th 2026, 8:56 am",pending,Shem Markus Amos,"""yes""","""35–44""","""Male""","""₦10,000 – ₦29,999""","""I decide alone""","""Sometimes""","""HND/Bachelor's degree""","""Employed part-time""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""3–4""","""Bauchi"""
214283009,"9.9190388, 8.9156619","Aug 26th 2026, 8:57 am",pending,Ajayi Friday oshomo ,"""yes""","""35–44""","""Male""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Often""","""HND/Bachelor's degree""","""Employed part-time""","""Middle management / skilled / supervisory""","""Living with family / free housing""","Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone
Computer/laptop","""₦50,000 – ₦150,000""","""3–4""","""Plateau"""
406952696,"5.4983158, 5.835275","Aug 26th 2026, 8:57 am",pending,Okolosi Akpevweoghene ,"""yes""","""25–34""","""Female""","""₦30,000 – ₦69,999""","""I decide alone""","""Rarely""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator
Generator
Computer/laptop
Smartphone","""₦150,001 – ₦350,000""","""3–4""","""Delta"""
370077474,"11.9420142, 8.5750204","Aug 26th 2026, 8:57 am",pending,Fatima Abdullahi Ringim ,"""yes""","""35–44""","""Female""","""Less than ₦10,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""OND/NCE""","""Unemployed""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator","""Below ₦50,000""","""7+""","""Kano"""
136397650,"8.414505, 4.6044933","Aug 26th 2026, 8:58 am",pending,Mary idowu alabi,"""yes""","""35–44""","""Female""","""Less than ₦10,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Employed part-time""","""Junior staff / semi-skilled""","""Rented — flat/apartment""","Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)","""₦50,000 – ₦150,000""","""5–6""","""Kwara"""
461330351,"9.0702543, 7.4868887","Aug 26th 2026, 8:59 am",pending,Godwin ,"""yes""","""25–34""","""Male""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Generator
Air conditioner
Smartphone
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop","""₦150,001 – ₦350,000""","""3–4""","""FCT (Abuja)"""
228369114,"6.4616034, 7.4937851","Aug 26th 2026, 9:00 am",pending,Chioma Nwana ,"""yes""","""35–44""","""Female""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Car
Generator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦150,001 – ₦350,000""","""5–6""","""Enugu"""
497926638,"11.9752133, 7.695805","Aug 26th 2026, 9:00 am",pending,ADAMU MAGAJI ,"""yes""","""25–34""","""Male""","""₦30,000 – ₦69,999""","""I decide alone""","""Often""","""OND/NCE""","""Employed full-time""","""Junior staff / semi-skilled""","""Rented — single room(s) / face-me-I-face-you""",Smartphone,"""₦50,000 – ₦150,000""","""3–4""","""Katsina"""
125987412,"5.2914241, 8.2949032","Aug 26th 2026, 9:00 am",pending,NYONG ,"""yes""","""35–44""","""Male""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Rarely""","""HND/Bachelor's degree""","""Employed part-time""","""Junior staff / semi-skilled""","""Rented — flat/apartment""","Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator","""₦150,001 – ₦350,000""","""3–4""","""Cross River"""
197346076,"8.7441295, 12.159877","Aug 26th 2026, 9:00 am",pending,Muhammad Surajo Ahmad ,"""yes""","""25–34""","""Female""","""₦10,000 – ₦29,999""","""I decide alone""","""Sometimes""","""Secondary""","""Self-employed / business owner""","""Junior staff / semi-skilled""","""Rented — flat/apartment""",Smartphone,"""₦50,000 – ₦150,000""","""3–4""","""Adamawa"""
66460970,"7.2669631, 5.1695599","Aug 26th 2026, 9:01 am",pending,Samuel Reuben Olumide ,"""yes""","""25–34""","""Male""","""₦10,000 – ₦29,999""","""I decide alone""","""Always""","""HND/Bachelor's degree""","""Employed full-time""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Rented — flat/apartment""","Smartphone
Computer/laptop
Refrigerator
Air conditioner
Generator
Cable/satellite TV (DSTV, GOtv, etc.)","""₦150,001 – ₦350,000""","""1–2""","""Ondo"""
89395994,"10.827715, 10.77499","Aug 26th 2026, 9:03 am",pending,SAIDU ALHAJI ISAH ,"""yes""","""35–44""","""Male""","""₦10,000 – ₦29,999""","""I decide alone""","""Often""","""HND/Bachelor's degree""","""Unemployed""","""Unemployed / none""","""Own home — flat/apartment""",Smartphone,"""₦50,000 – ₦150,000""","""3–4""","""Gombe"""
295392844,"6.4657907, 3.329899","Aug 26th 2026, 9:03 am",pending,Ndupu Chinelo Comfort ,"""yes""","""25–34""","""Female""","""₦70,000 – ₦150,000""","""I decide alone""","""Sometimes""","""HND/Bachelor's degree""","""Employed part-time""","""Middle management / skilled / supervisory""","""Rented — single room(s) / face-me-I-face-you""","Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦350,001 – ₦700,000""","""5–6""","""Lagos"""
433766495,"7.4437572, 3.9513415","Aug 26th 2026, 9:03 am",pending,David Oluwabunmi ,"""yes""","""25–34""","""Female""","""₦10,000 – ₦29,999""","""I decide alone""","""Sometimes""","""HND/Bachelor's degree""","""Employed full-time""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Rented — flat/apartment""",Smartphone,"""₦50,000 – ₦150,000""","""1–2""","""Oyo"""
493943322,"6.1662156, 6.8696537","Aug 26th 2026, 9:04 am",pending,Oluchi Ugonweze ,"""yes""","""18–24""","""Female""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Always""","""Secondary""","""Self-employed / business owner""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Rented — flat/apartment""","Car
Generator
Air conditioner
Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator
Smartphone","""₦150,001 – ₦350,000""","""7+""","""Enugu"""
8819158,"8.7441295, 12.159877","Aug 26th 2026, 9:04 am",pending,Muhammad Surajo Ahmad ,"""yes""","""25–34""","""Female""","""₦10,000 – ₦29,999""","""I decide alone""","""Sometimes""","""Secondary""","""Self-employed / business owner""","""Junior staff / semi-skilled""","""Rented — flat/apartment""",Smartphone,"""₦50,000 – ₦150,000""","""3–4""","""Adamawa"""
111822243,"11.7007069, 9.3358606","Aug 26th 2026, 9:04 am",pending,Hyellatsakridari Mohammed ,"""yes""","""25–34""","""Female""","""₦10,000 – ₦29,999""","""I decide alone""","""Sometimes""","""HND/Bachelor's degree""","""Unemployed""","""Middle management / skilled / supervisory""","""Rented — single room(s) / face-me-I-face-you""",Smartphone,"""₦50,000 – ₦150,000""","""3–4""","""Jigawa"""
110534107,"6.615325197821668, 3.4998945146799088","Aug 26th 2026, 9:05 am",pending,Kolapo Ronald ,"""yes""","""25–34""","""Male""","""₦30,000 – ₦69,999""","""I decide alone""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone
Computer/laptop","""₦50,000 – ₦150,000""","""1–2""","""Ekiti"""
48837630,"11.8604454, 13.1186077","Aug 26th 2026, 9:05 am",pending,Peter Mathew ,"""yes""","""25–34""","""Male""","""₦70,000 – ₦150,000""","""I decide alone""","""Often""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Own home — detached house/duplex""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""5–6""","""Borno"""
77638833,"11.7156476, 11.104949","Aug 26th 2026, 9:05 am",pending,Umar Hassan Musa ,"""yes""","""25–34""","""Male""","""₦70,000 – ₦150,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Employed full-time""","""Junior staff / semi-skilled""","""Living with family / free housing""","Smartphone
Computer/laptop","""₦50,000 – ₦150,000""","""7+""","""Yobe"""
212141102,"7.8130283, 6.6417409","Aug 26th 2026, 9:06 am",pending,Jimoh Muhammed jamiu adavize,"""yes""","""18–24""","""Male""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Often""","""Postgraduate""","""Student""","""Junior staff / semi-skilled""","""Living with family / free housing""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦150,001 – ₦350,000""","""5–6""","""Kogi"""
137930088,"9.6025048, 6.5594898","Aug 26th 2026, 9:07 am",pending,Emmanuel Ayoola ,"""yes""","""35–44""","""Female""","""₦70,000 – ₦150,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""OND/NCE""","""Self-employed / business owner""","""Unskilled / casual labor""","""Rented — flat/apartment""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone
Generator
Car","""₦150,001 – ₦350,000""","""5–6""","""Niger"""
416586148,"6.542226, 3.3566565","Aug 26th 2026, 9:07 am",pending,okuboyejo Tosin ,"""yes""","""35–44""","""Male""","""₦30,000 – ₦69,999""","""I decide alone""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Rented — flat/apartment""","Generator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone
Refrigerator","""₦150,001 – ₦350,000""","""1–2""","""Lagos"""
31769426,"8.9071383, 8.39556","Aug 26th 2026, 9:08 am",pending,Queen Amazeh Ibrahim ,"""yes""","""35–44""","""Female""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Often""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Car
Computer/laptop
Generator
Refrigerator
Smartphone","""₦150,001 – ₦350,000""","""5–6""","""Nasarawa"""
327357852,"9.0949837, 6.0310307","Aug 26th 2026, 9:08 am",pending,Mohammed Abdullahi ,"""yes""","""25–34""","""Male""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Often""","""OND/NCE""","""Unemployed""","""Junior staff / semi-skilled""","""Own home — flat/apartment""","Refrigerator
Generator
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""3–4""","""Niger"""
367624386,"5.0208233, 7.8749083","Aug 26th 2026, 9:09 am",pending,Gold Jackson ,"""yes""","""25–34""","""Male""","""₦30,000 – ₦69,999""","""I decide alone""","""Often""","""HND/Bachelor's degree""","""Employed full-time""","""Middle management / skilled / supervisory""","""Living with family / free housing""","Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""3–4""","""Akwa Ibom"""
185961608,"6.6572667, 3.4565129","Aug 26th 2026, 9:09 am",pending,Ogunlana funmilayo ,"""yes""","""35–44""","""Female""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Rarely""","""OND/NCE""","""Employed part-time""","""Junior staff / semi-skilled""","""Rented — flat/apartment""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦150,001 – ₦350,000""","""3–4""","""Lagos"""
347534308,"7.2236864, 3.4517813","Aug 26th 2026, 9:09 am",pending,Durojaye Damilola ,"""yes""","""18–24""","""Female""","""Less than ₦10,000""","""I am not involved in these decisions""","""Sometimes""","""Secondary""","""Student""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦350,001 – ₦700,000""","""5–6""","""Osun"""
215998399,"12.9654679, 7.6340929","Aug 26th 2026, 9:10 am",pending,Ibebuike Perpetua Chidinma ,"""yes""","""35–44""","""Female""","""₦70,000 – ₦150,000""","""I decide jointly with a spouse/partner""","""Often""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Unskilled / casual labor""","""Rented — flat/apartment""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦50,000 – ₦150,000""","""7+""","""Katsina"""
344930252,"7.8136857, 6.6390201","Aug 26th 2026, 9:10 am",pending,Daniel joseph,"""yes""","""35–44""","""Male""","""₦30,000 – ₦69,999""","""I decide alone""","""Always""","""HND/Bachelor's degree""","""Employed part-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Generator
Air conditioner
Computer/laptop
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦350,001 – ₦700,000""","""3–4""","""Kogi"""
280089370,"10.8195045, 10.7695114","Aug 26th 2026, 9:11 am",pending,Rabiu Dikko ,"""yes""","""45–54""","""Male""","""₦10,000 – ₦29,999""","""I decide alone""","""Always""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""",Smartphone,"""₦50,000 – ₦150,000""","""5–6""","""Gombe"""
467060039,"9.5956047, 6.5584891","Aug 26th 2026, 9:11 am",pending,John Jiya,"""yes""","""35–44""","""Male""","""₦10,000 – ₦29,999""","""I decide alone""","""Often""","""OND/NCE""","""Employed part-time""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Rented — flat/apartment""","Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone
Refrigerator","""₦150,001 – ₦350,000""","""1–2""","""Niger"""
304932224,"11.7650958, 11.9806396","Aug 26th 2026, 9:12 am",pending,Saidu Ibrahim HUSSAINI ,"""yes""","""25–34""","""Male""","""₦70,000 – ₦150,000""","""I decide jointly with a spouse/partner""","""Always""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""",Generator,"""₦150,001 – ₦350,000""","""3–4""","""Yobe"""
324014592,"5.499268, 5.8358705","Aug 26th 2026, 9:12 am",pending,okolosi Divine Ebruphiyor ,"""yes""","""18–24""","""Female""","""₦70,000 – ₦150,000""","""Another household member/head decides""","""Sometimes""","""OND/NCE""","""Student""","""Junior staff / semi-skilled""","""Living with family / free housing""","Refrigerator
Generator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦150,001 – ₦350,000""","""5–6""","""Delta"""
83970099,"6.6222761, 3.2985935","Aug 26th 2026, 9:13 am",pending,Olabayiwa Rachael ,"""yes""","""25–34""","""Female""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Always""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Car
Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone
Computer/laptop","""₦350,001 – ₦700,000""","""3–4""","""Lagos"""
349478176,"7.7588567, 8.5406885","Aug 26th 2026, 9:13 am",pending,Agwe Emmanuel Terhemba,"""yes""","""35–44""","""Male""","""₦30,000 – ₦69,999""","""I decide alone""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator
Smartphone","""₦150,001 – ₦350,000""","""3–4""","""Benue"""
312763860,"9.5485419, 6.5933028","Aug 26th 2026, 9:14 am",pending,Doris Ihienweahule ,"""yes""","""35–44""","""Female""","""Less than ₦10,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Generator
Car
Refrigerator
Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)
Air conditioner","""₦150,001 – ₦350,000""","""5–6""","""Niger"""
62675729,"7.723462, 8.5389276","Aug 26th 2026, 9:15 am",pending,Vambe Stephen ,"""yes""","""35–44""","""Male""","""₦10,000 – ₦29,999""","""I decide alone""","""Often""","""Postgraduate""","""Self-employed / business owner""","""Junior staff / semi-skilled""","""Rented — single room(s) / face-me-I-face-you""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""3–4""","""Benue"""
99713280,"11.813958, 13.107466","Aug 26th 2026, 9:15 am",pending,Lindi Wada Chiroma,"""yes""","""35–44""","""Female""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""Postgraduate""","""Employed full-time""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Own home — flat/apartment""","Car
Air conditioner
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦350,001 – ₦700,000""","""3–4""","""Borno"""
36321904,"12.9667211, 7.6545778","Aug 26th 2026, 9:16 am",pending,Aluka chinasa Vivian ,"""yes""","""35–44""","""Female""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Rarely""","""HND/Bachelor's degree""","""Unemployed""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""",Refrigerator,"""₦150,001 – ₦350,000""","""7+""","""Katsina"""
285436372,"8.9224111, 8.3987206","Aug 26th 2026, 9:19 am",pending,Hanatu Oneshi Magaji ,"""yes""","""35–44""","""Female""","""₦30,000 – ₦69,999""","""Another household member/head decides""","""Rarely""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Junior staff / semi-skilled""","""Rented — flat/apartment""","Generator
Refrigerator
Smartphone","""₦150,001 – ₦350,000""","""5–6""","""Nasarawa"""
308001559,"7.6715143, 6.407337","Aug 26th 2026, 9:20 am",pending,Oboroujah Abdulfatai Adinoyi ,"""yes""","""25–34""","""Male""","""₦30,000 – ₦69,999""","""Another household member/head decides""","""Often""","""Secondary""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Car
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone
Air conditioner
Generator","""Above ₦700,000""","""7+""","""Kogi"""
182041708,"6.6051133, 3.25832","Aug 26th 2026, 9:21 am",pending,Sunday Joseph Adeboye ,"""yes""","""35–44""","""Male""","""₦70,000 – ₦150,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Unskilled / casual labor""","""Rented — flat/apartment""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦150,001 – ₦350,000""","""3–4""","""Lagos"""
156698071,"7.6801126, 6.4219433","Aug 26th 2026, 9:22 am",pending,komolafe Emmanuel ,"""yes""","""35–44""","""Male""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Often""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦50,000 – ₦150,000""","""3–4""","""Kogi"""
68735960,"7.1479214, 7.784642","Aug 26th 2026, 9:24 am",pending,Apeh Michael,"""yes""","""25–34""","""Male""","""₦10,000 – ₦29,999""","""I decide alone""","""Rarely""","""Postgraduate""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Living with family / free housing""","Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone
Computer/laptop
Generator
Refrigerator","""₦150,001 – ₦350,000""","""7+""","""Benue"""
122504136,"12.6269188, 9.3912589","Aug 26th 2026, 9:26 am",pending,Ummi umar ,"""yes""","""25–34""","""Female""","""Less than ₦10,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Unemployed""","""Unskilled / casual labor""","""Living with family / free housing""",Smartphone,"""Below ₦50,000""","""5–6""","""Jigawa"""
448502129,"6.6084926, 3.398102","Aug 26th 2026, 9:28 am",pending,MUSA JABIR SAFIYAL,"""yes""","""25–34""","""Male""","""₦70,000 – ₦150,000""","""I decide alone""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Junior staff / semi-skilled""","""Rented — single room(s) / face-me-I-face-you""","Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator","""₦150,001 – ₦350,000""","""3–4""","""Lagos"""
